Model,AUC,Accuracy,Macro F1,Precision,Recall,Brier Score
Logistic Regression,0.8616873482092394,0.7705324171457953,0.7704139290576707,0.7845233424872499,0.7468023527215013,0.15202525559924793
Random Forest,0.8619882268482825,0.7593605384938998,0.759359654614986,0.7613946057701344,0.7564186350480814,0.15153902499256333
XGBoost,0.8540273582544344,0.7512737811433646,0.751262822065588,0.7489837398373984,0.7568854448697601,0.15720557832061957
MLP,0.8598106390022517,0.764315430280933,0.763775256785864,0.7934568795941609,0.7155260946690318,0.1559872367919945
LSTM,0.8454931290331394,0.7411770205207311,0.740913709036723,0.7276487152411123,0.7720100830921482,0.1624781360148978
GRU,0.8598576258886277,0.760108446688169,0.7589905289925574,0.8023848238482385,0.6910652600130707,0.15786929003721842
