Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,F1 Successful,F1 Empty,F1 Unsuccessful
Logistic Regression,0.7424742003168757,0.7164136129934131,0.7166724944779919,0.7133152940731889,0.7328880592895801,0.6421224284997491,0.9093210470355931,0.5885024066842248
Random Forest,0.7769451462338886,0.7610439388494313,0.7665800281636675,0.7559879397463217,0.7687408938547681,0.6616438356164384,0.921515630577796,0.6848043530447308
XGBoost,0.7928317560912945,0.7756938008433849,0.771301067198637,0.7716309826861097,0.7874826168090744,0.7211696618946086,0.9246977009704707,0.6690255851932498
MLP,0.6949000128463152,0.7127821720775853,0.6891322605769412,0.6929087937863904,0.7018769330783127,0.6462023653088041,0.7938253859133804,0.6386986301369864
