Model,MAE,RMSE,R2,Explained Variance,MAPE
Linear Regression,0.3843034052966161,0.5797870864937351,0.3850579403931954,0.38689916490257004,38.63100954940215
Random Forest,0.29793543856907945,0.4037208601467348,0.7018330509331451,0.7027681063247433,32.49047131395536
XGBoost,0.28550443053245544,0.3933121002185535,0.7170096635818481,0.7173231622894611,32.257926970407766
MLP Regressor,0.39792360945983585,0.49460479122198414,0.5524786492413464,0.5881590129485137,29.202899231710443
